kʰ u k̚ ⁵¹	kʰ u k̚ ⁵¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
g r ei ¹¹	kʰ r ei ¹¹
n̥ w ɨ m ⁵⁵	n ɨ m ⁵⁵
s w i ¹¹	s w i ¹¹
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
ŋ w i ¹¹	ŋ w i ¹¹
m e ¹¹	m e ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
n̥ u ʔ̚ ⁵¹	n ə ʔ ⁵¹
k ə ⁰	k ə ⁰
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
l ou ¹¹	l̥ ou ¹¹
m a ¹¹	m̥ a ¹¹
l o ŋ ¹¹	l o ŋ ¹¹
d ɨ m ⁵⁵	d ɨ m ⁵⁵
⁰ ə ⁰	p ə ⁰
ˀd a ⁵⁵	ˀd a ⁵⁵
l a ɴ ⁵⁵	l a m ⁵⁵
kʰ l i ʔ̚ ⁵⁵	kʰ l i ʔ ⁵¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
tʰ w w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
p r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
ˀb ə ¹¹	ˀb ə ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
tʰ ⁰ ⁰	tʰ u ¹¹
k ə ɴ ⁵⁵	g a ŋ ⁵⁵
j ə m ¹¹	j ɨ m ¹¹
cʰ a ⁵⁵	cʰ a ⁵⁵
ˀb a ¹¹	ˀb a ¹¹
ə ə ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
