tʰ u ²	tʰ u ²
ŋ w e n ¹	ʔ w e n ¹
m i ¹	m i ¹
b æ ¹	b æ ¹
k æ ⁴	k æ ⁴
s i ²	s i ²
pʰ e ¹	pʰ e ¹
d o ⁴	ɖʐ o ⁴
g ɯ ¹	g ɯ ¹
tɕ e n ¹	tɕ e n ¹
b i ³	b r i ³
ŋ w a ŋ ⁴	ŋ w a ⁴
r w e n ¹	ʔ w e n ¹
ɕ j e n ¹	s j e n ¹
ŋ w e ²	ŋ w e n ²
m a ⁴	m a ⁴
d r ɯ ¹	d j ɯ ¹
sʰ w a ⁴	s w a ⁴
q w a ⁴	ɣ w a ⁴
m ɯ ²	m ɯ ²
χ ɯ ²	χ ɯ̃ ²
n j e n ¹	n j e n ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
? æ ŋ ³	h a ŋ ⁵
t w e n ²	t w e n ²
b æ n ³	b æ n ³
m e ²	m ə ²
s r ŋ o ³	s r o ⁵
x e n ¹	x e n ¹
ɣ ɯ ¹	ɣ ɯ ¹
d r o ¹	ɖʐ u ŋ ¹
m e ¹	m e ¹
m ɛ ²	m ɛ ²
t ɔ ²	t u ²
tsʰ ɯ ³	tsʰ ɯ ³
m ɔ ¹	m ɔ ¹
g o ¹	g o ¹
ʈ r ɯ ²	ʈ ɯ ²
q a ŋ ¹	q a ŋ ¹
tʰ j i ¹	tsʰ r i ¹
m e ¹	m e ¹
s r ŋ i ¹	s r e ŋ ¹
? ɔ ³	h ɔ ³
j o ²	n j o ²
d r æ n ¹	d r æ n ¹
ʈ o ŋ ¹	d r o ŋ ¹
