m ɯ ³	m ɯ ⁵
qʰ ɔ ¹	qʰ ɔ ¹
ɣ æ ⁴	ɣ æ ⁴
b o ŋ ŋ ²	b o ŋ ²
tɕ r ɯ ¹	tɕ ɯ ¹
q ɯ ¹	q ɯ ¹
ɖʐ o ³	ɖʐ o ³
ɕ r i ²	ɕ w i ²
l ɔ ¹	l a ¹
q ɯ ¹	ɣ ɯ ¹
ʈ ɔ ŋ ⁴	ʈ o ⁴
q a ŋ ¹	q a ŋ ¹
d r ɯ ³	d r ɯ ³
j ɯ ¹	j ɯ ¹
g r w a ⁴	ɣ w a ⁴
p o ŋ ŋ r ¹	z r o ŋ ¹
ɖʐ o ¹	ɖʐ u ŋ ¹
m a ⁴	m a ⁴
d ɯ ⁴	d j ɯ ¹
s o ŋ ¹	sʰ r o ŋ ¹
ŋ u ¹	ŋ o ¹
ŋ w e ŋ ¹	ʁ w e n ¹
tʰ ɛ	tʰ e ⁴
tʰ j e ²	tʰ j e ²
ɖʐ o ⁴	ɖʐ o ⁴
b r i ŋ ¹	b r i ²
ŋ ɛ ²	n j i ²
s r e n ¹	s r e n ¹
s j e n ¹	s j e n ¹
sʰ u ³	sʰ ɔ ³
s r ɯ ²	sʰ r ɯ ²
d a ⁴	d a ⁴
k u ²	k u ²
k w a ⁴	k w a ⁴
tsʰ o ŋ ³	tsʰ o ŋ ³
p r e n ¹	p r e n ¹
dʑ i ²	dʑ i ²
n o ŋ o ²	n j o ²
k o ⁴	k o ⁴
n o ¹	n j o ŋ ¹
p r a ⁵	b a ŋ ⁴
s r ɔ ²	s r o ²
tsʲʰ i ⁴	tsʰ j i ⁴
k æ ⁴	k æ ⁴
ʔ o ŋ ¹	ŋ ɔ ¹
tsʰ j i ¹	tsʰ j i ¹
tʰ r o ⁴	tʰ r o ⁴
