k j e ²	k j ɛ ²
ʃ i̠ ³	ʃ i̠ ¹
ˀl a ²	ˀl a ²
ɣ i̠ ³	ɣ i̠ ³
s ɛ ²	s ɛ ²
tʰ a ²	tʰ a ²
i ¹	i ²
s j y ³³	s y ¹
d e̠ ³	d ɛ̠ ³
a ¹	a ¹
n i̠ ¹	n i̠ ¹
g u ²	g j u ²
ˀn i ²	ŋ i ²
z a ²	z a ²
ɛ ²	ɛ ²
d u ¹	d u ¹
g i ¹	g i ¹
ˀn y ¹	ˀn y ¹
k ɛ ³	k ɛ ³
tʃʰ o̠ ³	tʃʰ o̠ ¹
a ¹	a ¹
v e̠ ³	v e̠ ³
ɣ i ¹	ɣ i ¹
tʰ a ²	tʰ a ²
v e̠ ¹	v e ¹
dʒ a ²	ɣ o ²
tʃʰ i̠ ²	tʃʰ i ²
n e ¹	n e ¹
m a ³	m a ³
g j o̠ ¹	g j o̠ ¹
z a ³	z a ²
l i ³	l a ³
s a ¹	s a ¹
a ¹	a ¹
p a̠ ³	p a̠ ³
ɣ i ¹	ɣ i ¹
ʃ ɛ ¹	ʃ ɛ ¹
ʃ u ³	ʃ a̠ ³
l a ŋ ¹	l a ŋ ¹
ˀn i ¹	ˀn i ¹
a ¹	a ²
b y ¹	b y ¹
a ¹	a ¹
m a ³	m a ³
pʰ a ¹	x i ¹
s ɛ ²	s ɛ ²
h ɛ ³	x e̠ ³
l i ³	ˀl i̠ ³
tʃ ɛ ¹	tʃ ɛ ¹
m o ²	m o ²
ɣ a ŋ ²	ɣ a ŋ ²
kʰ ɛ ²	kʰ j ɛ ²
m i ¹	ˀm i ¹
ŋ w a ŋ ³	s i ³
ʃ ɛ ¹	ʃ ɛ ¹
l a ²	l a ²
k a̠ ²	k a ŋ ²
l o̠ ³	l o̠ ³
k a̠ ²	k a ŋ ²
k o ²	k j o ²
g i ¹	g y ¹
kʰ a ³	kʰ a ²
ʒ o̠ ³	ʒ o̠ ³
ˀl y ³	l y ³
tʃʰ i ¹	tʃʰ e ¹
g i ²	g i ²
b y ²	b y ²
x a ŋ ¹	tʃʰ i̠ ³
ʒ o̠ ³	ʒ o̠ ¹
m a ²	m a ²
ɲ j e ¹	ɲ e ¹
m y ¹	m y ¹
tsʰ i ²	d i ²
s i ¹	s i̠ ¹
ʃ ɨ ²	ʃ ɨ ²
dʒ i ²	dʒ e ³
dʒ ɛ ¹	dʒ ɛ ¹
h a̠ ³	ɣ a̠ ³
tsʰ y̠ ³	tsʰ y̠ ³
kʰ ɨ ³	kʰ ɨ̠ ³
pʰ i ²	p i ²
a ¹	a ¹
ˀm a ŋ ¹	ˀm j y̠ ¹
a ¹	a ¹
v a ³	v a ²
tʃ y ³	k j o̠ ³
d i ³	d e ³
a ¹	a ¹
ˀm ɛ ¹	ˀm ɛ ¹
m a ŋ ²	m a ŋ ²
ts i ¹	ts i ¹
x a̠ ³	x a̠ ³
v a ¹	v u ¹
a ¹	a ¹
d v ɛ ³	d u ¹
k i ¹	k i ¹
b e o	b y ²
g u ³	g u ³
k e ²	s e ¹
g a ²	g a ²
p a ¹	p a ¹
a ²	a ²
k o̠ ³	k o̠ ¹
a ¹	a ¹
m e ³	ˀm u ²
n i̠ ³	ˀn e̠ ³
g u̠ ³	g u̠ ³
ˀn i ³	ˀn i ³
d i ¹	d e ³
s i ¹	s i̠ ¹
l i y ¹	l y ¹
a ¹	a ¹
p a̠ ³	p a̠ ³
s i ¹	s i̠ ¹
tʰ a ²	tʰ a ŋ ²
k a ³	k a ŋ ²
ɣ ɨ ³	ɣ i ¹
b e̠ ¹	b e ³
a ²	a ²
m a ³	m a ³
x i̠ ³	x ɨ̠ ³
ˀŋ j a̠ ²	ɲ a ²
kʰ a ŋ ²	kʰ a ŋ ²
ts o̠ ³	ts o̠ ¹
