ts j u ²	ts u ²
s j i	s j i ⁴
ʈ r o ŋ ¹	ʈ o ŋ ¹
tɕ i ¹	tɕ i ¹
d r ɯ ³	d ɯ ⁵
d a ¹	d ɔ ¹
q w a ⁴	ɣ w a ⁴
s r e ¹	sʰ r e ŋ ¹
q æ ŋ ¹	q æ n ¹
n j u ŋ ²	ŋ j o ²
n j e ⁴	n j e ⁴
ʁ o ŋ ŋ ¹	ʁ o ŋ ¹
g r w a ⁴	ɣ w a ⁴
g ɯ ¹	g ɯ ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
q ɯ ¹	q ɯ ¹
t w e n ²	t w e n ²
ɣ ɯ ²	ɣ ɯ ²
ts i ¹	ts r i ¹
p r a ⁵	b a ŋ ⁴
sʰ a ŋ ¹	sʰ a ŋ ¹
ŋ w e n ¹	ʁ w e n ¹
m ɯ	m ɯ ⁴
qʰ j o ŋ ²	qʰ ɔ ²
tɕʰ i ¹	tɕʰ i ¹
kʰ o ⁴	kʰ o ⁴
q o ŋ ŋ ⁴	q ɔ ⁴
dʑ j e n ¹	dʑ e n ¹
q æ ⁵	q æ ⁵
tsʰ r o ŋ ²	tsʰ r e n ²
m ɛ ³	m ɛ ⁵
tsʲʰ j e n ¹	tsʰ j e n ¹
m o ŋ ²	m ø ²
d r r o ŋ ŋ ⁴	d r o ⁴
b j o ŋ ⁴	b j o ⁴
tʰ r a ⁴	tʰ j æ ⁴
tʰ r r æ n ¹	tʰ æ n ¹
t ɯ ⁴	d j ɯ ²
g o ⁴	qʰ ɔ ⁴
p j ə ¹	p e ¹
g r ɯ̃ ²	ɣ ɯ ²
p j o ⁵	p j o ⁵
d r r o ⁴	d r o ⁴
qʰ w ¹	kʰ w ɛ ²
ts e ŋ ²	ts r e n ²
tɕ o ŋ ¹	tɕ u ¹
tʰ j e ²	tʰ j e ²
