ts ɨ ²	ts i ²
k ɛ ³	k ɛ ³
x i̠ ³	x ɨ̠ ³
m a ³	m a ³³
n i ²	n i ²
tʰ y ¹	tʰ y ¹
n e̠ ¹	ŋ j a̠ ¹
g u̠ ²	g ɨ ²
pʰ ɛ ²	b ɛ ²
ˀm e̠ ¹	ˀm e̠ ¹
d a ŋ ¹	t a ŋ ³
ˀn a ³	ɲ a̠ ¹
t e ³	t e ²
s a ³	ʃ a̠ ³
ɣ e ¹	h e ¹
m i ¹	m i ¹
kʰ u ¹	kʰ u ¹
ɣ ɨ ³	ɣ ɨ ²
m a ŋ ²	m a ŋ ²
z a ²	z a ²
ˀn i ³	ˀn i ³
t i ²	t i ²
dz a ²	dz a ²
tsʰ o̠ ¹	tsʰ o̠ ¹
pʰ a ²	pʰ a ²
p a̠ ³	p a̠ ³
dz i ²	dʒ e ³
tsʰ a ¹	tsʰ a ¹
h y̠ ²	h y̠ ³
a ¹	a ¹
z e̠ ³	z e̠ ³
ˀn y̠ ³	ˀn y̠ ³
m a ³	m a ³
h e ¹	h e ¹
tʰ y ³	tʰ y ¹
n i̠ ¹	n i̠ ¹
z a ²	z a ²
dz i ²	dz i ²
t u ¹	t j ɛ ³³
t e̠ ¹	t e̠ ¹
d a ¹	d a ¹
a ¹	a ¹
n i ¹	n e ¹
kʰ i ¹	kʰ i ¹
tsʰ i ¹	tsʰ i ¹
kʰ u ¹	kʰ u ¹
p a ¹	p a ¹
k u ¹	k u ²
s a ³	s a ¹
x a ²	x a ²
ɲ o ŋ ²	n u ²
x a̠ ²	ʃ a ²
pʰ y̠ ³	pʰ y̠ ³
tʃ a ŋ ¹	tʃ ɛ ¹
d u ²	d u ²
b o ²	b a ²
a ¹	a ¹
b e̠ ¹	b e̠ ¹
ˀl u̠ ¹	ˀl u ¹
k u ³	k j o ²
m a ²	m a ²
ɣ i ³	ɣ i ¹
a ¹	a ¹
l e̠ ²	l a ²
z i ²	z i ²
x i ¹	ʃ ɛ ¹
tʃʰ i ¹	tʃʰ e ¹
l a ²	l a ²
dz a ¹	dz a ²
m a ³	m a ³
m i ¹	m i ¹
dz a ¹	dz a ¹
m a̠ ²	m a ²
v a ²	ɣ a ²
h a ŋ ²	h a ŋ ²
pʰ i ²	pʰ i ²
a ¹	a ¹
ɣ i ¹	ɣ i ¹
k a ²	dz a ¹
ˀl o̠ ¹	ˀl o̠ ¹
a ²	a ²
d a ŋ ¹	d a ŋ ¹
l a ²	l a ²
m ɛ̠ ¹	m u ²
l y ³	l y ³
pʰ u ³	pʰ u ³
a ³	a ²
m e ³	ˀm u ²
l y ²	l y ²
l y̠ ³	ˀl y̠ ³
kʰ o ¹	kʰ o ¹
tʃʰ e ¹	tsʰ i ²
n a ¹	n a ¹
pʰ a ŋ ¹	pʰ j a ¹
ˀn a ²	ˀn a ²
ʃ a ¹	ʃ a ¹
m y̠ ³	m ɨ ²
m o̠ ¹	m o̠ ¹
ʃ i̠ ³	ʃ i̠ ¹
ˀn i ²	ˀn i ¹
tsʰ i ¹	k i ¹
ts a ³	ts a ³
s ɛ̠ ³	s ɛ̠ ³
n i ²	n̩ ²
tʃʰ i ¹	tʃʰ e ¹
s i̠ ³	s i̠ ¹
kʰ o ³	kʰ j o ³
n e̠ ²	ˀn e̠ ³
l a ²	l a ²
tʃ u ²	tʃ u ²
ɣ i ³	ɣ ɨ ³
f e̠ ¹	ˀv e̠ ¹
tsʰ ɛ̠ ²	dʒ ɛ ²
pʰ i ³	ʒ i̠ ³
tsʰ e ¹	tsʰ e ¹
k u ¹	k u ¹
tʃʰ e ²	tʃʰ ɛ ²
m y ²	m o ²
kʰ ɛ ³	kʰ ɛ̠ ³
x a̠ ³	x a̠ ³
a ²	a ²
b y ³	b y ³
h a ¹	h a ¹
ˀm e̠ ³	ˀm j e̠ ¹
