dz i ¹	dz i ¹
b ɔ ¹	p j o ²
qʰ ɛ n ¹	qʰ e n ¹
q ɯ ¹	q ɯ ¹
k a ŋ ¹	k a ŋ ¹
sʰ ɛ ⁴	sʰ ɛ ⁴
q æ n ²	q æ n ²
sʰ w a ¹	sʰ w a ŋ ¹
j ɯ ⁴	j ɯ ⁴
tɕ j æ n ¹	tɕ æ ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
p æ ³	b j o ²
ʔ w e n ¹	ʔ w e n ¹
n o ²	n o ŋ ³
n o ¹	n o ²
tʰ r r æ n ¹	tʰ æ n ¹
s r i ²	s r i ²
q a ⁴	q æ ⁴
ɕ a ⁴	ɕ a
pʰ ɯ ¹	pʰ ɯ ¹
q o ŋ ¹	q o ŋ ¹
o ⁴	ɔ ⁴
tʰ r a ⁴	tʰ j æ ⁴
tsʰ u ¹	tsʰ u ŋ ¹
ɕ j i ⁴	ɕ i ⁴
tʰ u ŋ ²	tʰ u ²
d ɛ ⁴	d ɛ ⁴
n e ⁴	n e ⁴
b j o ⁴	b j o ⁴
g ɔ ¹	g ɔ ¹
s r e ŋ ¹	s r e ŋ ¹
n o ŋ ¹	n o ŋ ¹
p j o ŋ ¹	p r ɔ ¹
ŋ w a ⁴	ŋ w a ⁴
h w a ⁴	h w a ⁴
s j e n ¹	s j e n ¹
s j i ²	s j i ²
ɖʐ w e n ⁵	ɖʐ w e n ⁵
dʑ i ³	d i ³
tsʰ j a ⁴	tsʰ w a ⁴
b r ɔ ³	b ɔ ³
k o ⁵	k o ⁵
b e ¹	p e ¹
ts o ŋ ŋ ¹	ts u ŋ ¹
tsʰ j æ n ¹	tsʰ j æ n ¹
m ɔ ¹	m ɔ ¹
ts i ²	ts i ²
