z a ŋ ²	z a ²
m o ²	m o ²
ɣ a ŋ ²	ɣ a ŋ ¹
l y ¹	l y ³
p u ¹	p u ¹
b i ³	b i ³
m u ²	m ɨ ²
ɣ y ³	ɣ y̠ ³
pʰ ɛ ¹	pʰ ɛ ¹
t u ²	t u ²
kʰ o̠ ³	kʰ o̠ ³
a ²	a ²
s ɛ ²	h a ¹
tʃ a̠ ³	tʃ a̠ ³
dz y ¹	dz y ¹
ˀl a ¹	ˀl a ¹
z a ²	z a ²
g a ³	g j a ³
dz a ¹	dz a ¹
m u ³	ˀm u ¹
kʰ u ²	kʰ u ²
l y̠ ³	ˀl y̠ ³
s ɛ ¹	ʃ ɛ ¹
ts e ¹	tʃ e ¹
kʰ o̠ ¹	kʰ o̠ ¹
d e ²	d i ²
h ɛ̠ ¹	h ɛ̠ ¹
n a ¹	n a ¹
ˀv a ¹	ˀv a ¹
pʰ a ²	pʰ a ²
kʰ i ²	kʰ i ²
l e ³	l e̠ ³
m o̠ ²	m o̠ ¹
l a ²	l a ²
n i ²	n i ²
t u ³	k j i ³
h ɛ ²	h ɛ ²
ˀl a ŋ ²	ˀl u ²
n e ³	n i̠ ¹
d a ¹	d a ŋ ¹
v e̠ ³	v e̠ ³
a ²	a ²
b j a ²	b j a ²
d i ¹	d i ¹
d e ²	d e̠ ³
m u ³	m a ŋ ³
pʰ a ²	pʰ a ²
ts i̠ ²	ts i ²
tsʰ e ¹	k i ¹
v a ³	v a ³
l u ²	l u ²
d y ¹	d y ¹
g u ¹	g a ¹
ˀm o ¹	ˀm j e̠ ¹
v e̠ ³	v e̠ ³
b o ²	pʰ u ¹
p a̠ ³	p a̠ ³
b ɛ ³	b ɛ ¹
b e̠ ¹	b e̠ ¹
pʰ ɛ ³	f ɛ ³
dz i ²	dz i ²
s i ¹	s e ¹
tʰ a ³	tʰ a ³
dz a ¹	ˀŋ j a̠ ¹
dz a ¹	dʒ e̠ ¹
ɨ ²	ɨ̠ ³
d e̠ ³	d ɛ̠ ³
a ¹	a ¹
s ɛ̠ ŋ ²	s ɛ ²
v a ²	v a ²
k a ¹	k u ¹
ɣ i ²	ɣ ɨ ²
kʰ a ²	kʰ a ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
tsʰ y ¹	tsʰ y ¹
dz i̠ ¹	dz i̠ ¹
k i ³	k o̠ ¹
pʰ j a ŋ ¹	pʰ j a ¹
dz e ¹	dz e ¹
tʰ a ²	tʰ a ²
tsʰ u ³	tsʰ e̠ ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
tʃʰ y ¹	tsʰ y ¹
h a ³	h a ŋ ²
kʰ o̠ ²	kʰ j o ²
n̩ ²	n̩ ²
l a ¹	l a ¹
p ɛ̠ ³	p ɛ̠ ¹
g j e̠ ³	ts e̠ ³
m a ²	m ɨ ²
pʰ e ¹	pʰ e̠ ¹
ʃ a ³	ʃ a̠ ³
a ¹	e̠ ¹
dʒ o̠ ³	dʒ o̠ ³
z e̠ ³	z e̠ ³
s ɛ ²	s ɛ ²
tʰ e̠ ³	tʰ e̠ ³
kʰ o̠ ³	kʰ o̠ ³
l i ²	l e̠ ³
kʰ i ³	kʰ ɨ ³
ɣ i ¹	ɣ i ¹
ʃ y ¹	s y ¹
a ²	a ²
v e̠ ³	v e̠ ³
g o̠ ³	g o̠ ³
n y ¹	n y ¹
ɣ i ¹	ɣ i ¹
ɣ y̠ ³	kʰ j o ³
g y o ²	g y ²
ʃ ɛ ¹	ʃ ɛ ¹
k a ²	k a ŋ ²
tsʰ i̠ ²	kʰ j i ²
i ²	i ²
x a ³	x a̠ ³
kʰ e̠ ¹	kʰ e̠ ¹
tsʰ ɨ̠ ²	tsʰ ɛ ²
m ɛ̠ ²	m o̠ ³
z a ²	z a ²
m ²	m u ²
ts i ¹	ts i ¹
p a ¹	p a ¹
k ɛ ¹	k j ɛ ¹
v a ²	v a ŋ ²
ŋ u ¹	ŋ w a ¹
b e ³	b j e̠ ³
