qʰ w i ²	kʰ w ɛ ²
s u ŋ ³	s u ŋ ³
n e ⁴	n e ⁴
n ɛ ⁴	n ɛ ¹
tʰ r æ ⁴	tʰ j æ ⁴
ts i ²	ts i ²
sʰ ɛ ⁴	sʰ ɛ ⁴
tʰ j e ²	tʰ j e ²
ts o ⁵	ts o ⁵
q a ŋ ¹	q a ŋ ¹
n j o ŋ ¹	n j o ¹
x ɯ ²	x ɯ ³³
d r ɯ̃ ¹	d r ɯ̃ ¹
q o ŋ ¹	q o ŋ ¹
m ɯ ²	m ɯ ²
s r u ¹	s r u ¹
ts i ²	ts r i ²
s r ɯ ²	sʰ r ɯ ²
ɣ u ⁴	ɣ o ⁴
tsʰ w a ŋ ²	tsʰ w a ŋ ²
q a ŋ ¹	q a ŋ ¹
tɕ i ¹	tɕ i ¹
g ɯ ³	g ɯ̃ ³
tɕ j æ ⁴	tɕ æ ¹
h æ n ¹	χ æ n ¹
s o ²	s u ŋ ²
ɕ i ⁴	ɕ i ⁴
z e n ¹	z e n ¹
k r o ¹	k r o ŋ ¹
s j e n ¹	s j e n ¹
ŋ w e ²	ŋ w e n ²
s j e n ¹	s j e n ¹
j i ³	j i ³
p j o ¹	pʰ j u ŋ ¹
ts j r u ¹	tʲ ɯ ¹
ts u ŋ ¹	ts u ŋ ¹
m ɛ ¹	m ɛ ¹
ts i ⁴	ts j i ⁴
n o ²	n o ²
j a ⁴	j a ⁴
q ɯ ¹	q ɯ ¹
k o ⁵	k o ⁵
ts e ŋ ²	ts r e n ²
n r u ŋ ⁴	ŋ j o ŋ ⁴
s r i ²	s r i ²
ʈ r ɯ ²	ʈ ɯ ²
tɕʰ i ⁴	tɕʰ i ⁴
