w a lː a r ɛ	w a lː aː r ɛ
f uː l g ɪ r ɛ	f ʊ l g eː r ɛ
r a d j aː r ɛ	r a d j aː r ɛ
l uː k s ʊ m	l uː k s ʊ m
iː r iː t aː r	ɪ rː iː t aː r ɛ
iː ŋ n ɛ ʊ m	ɪ ŋ n ɛu m
f ɛ s t iː w iː t aː t ɛ m	f eː s t iː w ɪ t aː t ɛ m
aː lː uː k k ɛ	h a lː ʊ m
r eː m uː n eː r aː r ɛ	r ɛ m uː n ɛ r aː r ɛ
p eː r s p iː k ʊ m	p ɛ r s p ɪ k ʊː m
s iː n k ɛ r ʊ m	s ɪ ŋ k eː r ʊ m
k iː k aː r a m	k ɪ k aː d a m
f ɔ r aː r ɛ	f ɔ r aː r ɛ
r eː s a r k iː r ɛ	r ɛ s a r k iː r ɛ
s t iː r p ɛ m	s t ɪ r p ɛ m
s ʊ l k aː r ɛ	s ʊ l k aː r ɛ
l a ŋ gʷ ɪ d ʊ m	l a ŋ gʷ ɪ d ʊ m
k ʊ lː aʊ d a r ɛ	k ɔ lː aʊ d aː r ɛ
p aɪ r g ʊ l ɛ m	p ɛ r g ʊ l a m
ɛ s kʷ aː lː iː d ʊ m	s kʷ aː l ɪ d ʊ m
iː n w ɛ n t oː r ɛ	ɪ n w ɛ n t oː r ɛ m
p r ɔ w a m	p r ɔ b a m
d eː m a n d aː r ɛ	d eː m a n d aː r ɛ
k ɔ m k uː s j ʊ m m	k ɔ ŋ k ʊ sː j oː n ɛ m
g l ʊ r j a r ɛ	g l oː r j aː r iː
s a t iː r iː k ʊ m	s a t ɪ r ɪ k ʊ m
b a ʊ aː r ɛ	b aː j ʊ l aː r ɛ
s a p j ɛ n t j a m	s a p ɪ ɛ n t j a m
a r k a n ʊ m	a r k aː n ʊ m
s ɛ n aː r ɛ	s ɪ ŋ n aː r ɛ
p a l ʊ m b aː r j ʊ m	p a l ʊ m b aː r j ʊ m
w ɛ k s aː r ɛ	w eː k s aː r ɛ
s a b l ʊ m	s a b ʊ l ʊ m
l ɛ t ɛ m r a m	l ɪ tː ɛ r a m
ɛ r ɛ p aː m t ɛ r	p aɪ n ɪ t eː r ɛ
r ʊ r aː r	r oː r aː r ɛ
ɛ s t ɛ lː aː r	s t eː lː aː r ɛ m
k a m ɪ n ʊ m	k a mː iː n ʊ m
p ɔ n d eː r a t j ʊ m n ɛ m	p ɔ n d ɛ r aː t j oː n ɛ m
m uː t aː r ɛ	m uː t w aː r iː
