l a ŋ ²	l a ŋ ²
k j i ²	k a ŋ ²
ˀn a ³	ɲ a̠ ¹
ˀn y ¹	ˀn y ¹
ɣ i ³	ɣ i̠ ³
l a ¹	l a ¹
dz e ¹	dz e ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
ˀn e ¹	n i̠ ¹
x a̠ ³	x a̠ ³
t ɛ ¹	t ɛ ¹
kʰ u ¹	kʰ u ¹
b j o ²	b j a ²
n y ¹	n y ¹
k ɛ ³	k u ²
m y ¹	m y ¹
tsʰ ɛ ³	tsʰ ɛ ³
ʃ a̠ ³	ʃ a̠ ³
l a ²	l a ²
s e ²	s e ²
ɣ i ¹	ɣ i ¹
z i ³	z i ³
n i ²	n i ²
n i ²	n u ²
a ¹	a ¹
l o ²	l a ²
ˀn e̠ ¹	ˀn i̠ ¹
k a ²	k a ŋ ²
m̩ ²	m u ²
s ɛ ²	s e ²
tʃʰ ɛ ¹	tʃʰ ɛ ¹
k o̠ ³	k o̠ ¹
kʰ j i̠ ²	kʰ j i ²
b y ¹	b y ¹
m e ²	m a ³
ɣ ɨ ³	ɣ i ¹
dz a ¹	dz a ¹
ˀn o ³	ˀn u̠ ³
m a ²	m a ²
l y ¹	l y ¹
f u ³	f u ³
t ɛ ¹	t ɛ ¹
a ¹	a ¹
x i ¹	ˀx y ¹
n i ²	n̩ ²
m ɛ ²	ˀm ɛ ¹
ˀl u ³	l u ³
ts i ¹	tʃ e ¹
d ɛ ³	t e̠ ³
s a ²	s a ²
s a ³	ʃ a̠ ³
s a̠ ³	ʃ a̠ ³
p a̠ ³	p a̠ ³
z a ²	z a ²
b a ³	b a ³
ˀn y ²	ˀn y ¹
m ɨ ¹	m ɨ ¹
t e ³	t i̠ ³
ts a ¹	ts a ¹
g i ¹	g i ¹
pʰ y ²	pʰ y ²
v a ³	v a ³
d a ŋ ³	d u ³
a ¹	a ¹
pʰ i ²	p i ²
p ɨ ²	p j ɨ ²
m a ³	m a ³
b u ³	pʰ u ²
ˀm e̠ ¹	ˀm j e̠ ¹
ʃ a ¹	ʃ a ¹
b i ²	b o ²
p a̠ ³	p a̠ ³
p a̠ ³	p a̠ ³
s y ¹	s y ¹
a ¹	a ²
pʰ i̠ ²	pʰ e ²
l o ²	l a ²
s o̠ ³	s o̠ ³
s y ²	s y ²
j v a ³	v a ³
dz a ¹	dz a ²
a ¹	a ¹
p o̠ ¹	pʰ o̠ ¹
g j u ¹	g j e̠ ¹
s ɛ ²	s ɛ ²
s o̠ ²	s e ³
f ɛ ³	f ɛ ³
p y ²	p y ²
z e̠ ³	z e̠ ³
ˀm ɛ ²	ˀm ɛ ²
dz i ²	dz i ²
l i ²	ˀl i ³
d u ²	d u ²
n a ¹	n a ¹
d a ²	d a ²
ɲ e̠ ³	n i̠ ³
k j o ¹	k j o ¹
tsʰ e ³	tsʰ i̠ ³
a ¹	a ¹
dz a ŋ ¹	dz a ŋ ¹
n a ²	n a ²
l ɛ̠ ¹	l a ³
d e̠ ³	d ɛ̠ ³
b a ŋ ²	b a ŋ ²
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
s y ²	ʃ y ²
s ɛ ²	s ɛ ²
x a̠ ³	x a̠ ³
b e̠ ¹	b e̠ ¹
ʃ o̠ ¹	ʃ o̠ ¹
tʃʰ i̠ ²	tʃʰ i ²
ʒ i ¹	ʒ e ¹
a ¹	a ¹
b a ³	b a ³
t y ¹	t y ¹
b o ²	b o ²
kʰ i ¹	kʰ i ¹
ts ɛ ¹	ts ɛ ¹
ˀm e̠ ³	ˀm j y̠ ¹
tsʰ e ¹	tsʰ e ¹
dʒ i ¹	dʒ i ¹
p a ŋ ¹	p a ŋ ¹
a ¹	a ²
ɣ i ³	ɣ i̠ ³
