pʰ æ n ³	pʰ æ n ³
j ɯ ¹	j ɯ ¹
kʰ r o ŋ ²	ɣ ɯ̃ ²
pʰ r a ⁴	pʰ r a ⁴
m u ⁴	m ɔ ⁴
ɖʐ o ⁴	ɖʐ o ⁴
pʰ ɯ ¹	pʰ ɯ ¹
ʈ r ɯ ²	ʈ ɯ ²
tɕʰ i ¹	tɕʰ i ¹
n o ŋ ¹	n j e ŋ ¹
n j u ŋ ²	ŋ j o ²
dz u ŋ ²	dz o ŋ ¹
t r i ¹	tʲ ɯ ¹
b r u ²	b ɯ ²
p r e n ¹	p r e n ¹
g o ⁵	g o ŋ ³
ɣ w a ⁴	q w a ⁴
ʁ ɯ ¹	ʁ ɯ ⁴
j a ⁴	j a ⁴
qʰ o ²	kʰ r o ³
m ɛ	m i ¹
tsʲʰ i ⁴	tsʰ j i ⁴
l ɔ ¹	l a ¹
ɣ ɯ ³	ɣ ɯ ³
tʰ ə ⁴	tʰ r e ⁴
q æ ⁴	q æ ⁴
j e n ¹	j e n ¹
ɖʐ o ¹	ɖʐ u ŋ ¹
d j e ⁵	d j ɛ ⁵
j ɔ ⁴	j ɔ ⁵
j ɯ ⁴	j ɯ ⁴
g r w a ⁴	ɣ w a ⁴
tsʰ r e ¹	tsʰ r e ŋ ¹
n e ⁴	n j e ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
b j ɛ ⁴	b j ɛ ⁴
p r ɛ ²	p ɛ ²
q æ n ¹	q æ n ¹
q æ	q æ ⁴
q ɛ ¹	q ɛ ¹
tsʰ o ŋ ⁵	tsʰ o ŋ ³
k w ɛ ¹	k w ɛ ¹
p r o ŋ ¹	p r ɔ ¹
m e ¹	m e ¹
kʰ ã ¹	qʰ o ŋ ¹
ŋ o ŋ ¹	ŋ ɔ ¹
tsʰ w a n ²	tsʰ w a ŋ ²
