d i ²	dʑ i ²
m a ⁴	m a ⁴
j i ³	j i ³
n r ɛ n ²	n j i ²
ʔ w e n ¹	ʔ w e n ¹
b r i ²	b r i ²
ts r e ŋ ¹	ts r e ŋ ¹
s a ⁴	ɕ a
s e n ¹	s r e n ¹
p ɛ ¹	p j e ¹
d o ŋ ²	d j o ŋ ²
k u ²	k u ²
q a ŋ ¹	q a ŋ ¹
b e ²	b e ²
s w a ŋ ¹	s w a ŋ ²¹
dz o ⁴	dz o ⁴
pʰ j ɛ ²	p j ɛ ²
q ɛ ¹	q ɛ ¹
b ɯ ¹	b ɯ ¹
m ɔ ⁴	m ɯ ⁴
b a ⁴	b a ⁴
ɕ i ²	ɕ w i ²
tɕʰ i ⁴	tɕʰ i ⁴
ŋ w æ ⁵	ŋ w æ ⁵
tʰ r o ⁴	tʰ r o ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
tɕ r ɯ ²	tɕ ɯ ²
kʰ o ⁴	kʰ o ⁴
ɣ æ ⁴	ɣ æ ⁴
qʰ r ɔ ²	qʰ ɔ ²
ɕ r i ⁴	ɕ i ⁴
j a ⁴	j a ⁴
t u ²	t u ²
sʰ r ɯ ²	sʰ r ɯ ²
s i ²	s i ²
q ɯ ¹	q ɯ ¹
ts w ɛ ⁴	ts w ɛ ⁴
tsʲʰ j e n ¹	tsʰ j e n ¹
kʰ r o ŋ ²	ɣ ɯ̃ ²
d w ɛ ⁴	d w ɛ ⁵
b ɯ ¹	b r i ¹
ɖʐ o ¹	ɖʐ u ŋ ¹
p j o ⁵	p j o ⁵
j ɯ ¹	j ɯ ¹
qʰ j o ŋ ²	qʰ ɔ ²
m o ŋ ²	m ø ²
l o ŋ ŋ ¹	l o ŋ ¹
