tʃʰ i ¹	tʃʰ e ¹
g a ŋ ¹	g a ŋ ³
a ¹	a ¹
ɣ i ³	ɣ ɨ ²
tʰ ɨ ³	d u ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
t e̠ ³	e̠ ¹
g j a ²	g j a ²
ts a ³	ts a ³
t e ³	t e ²
p a̠ ³	p a̠ ³
tʰ a ŋ ²	tʰ o ²
g j ɛ ²	kʰ u ²
b y ²	b y ²
k j ɛ̠ ³	k a̠ ³
tʰ a ²	tʰ a ²
dz i ³	dz i ³
dz y ¹	dz y ¹
a ²	a ¹
ɣ i ¹	ɣ i ¹
ˀl a ¹	ˀl a ¹
h e ³	h e̠ ³
t u ¹	t u ¹
z a ŋ ²	z a ²
m y ²	m o ²
v i̠ ³	v i̠ ³
kʰ i ²	kʰ ɨ ²
a ¹	a ¹
ˀl o̠ ¹	ˀl o̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
d e̠ ³	d ɛ̠ ³
ɣ ɨ ¹	ɣ ɨ ¹
d a ŋ ¹	t a ŋ ³
a ¹	a ¹
n y ²	n y ²
ts e ²	ts e ²
ʃ e̠ ³	ʃ e̠ ³
z o̠ ²	ʒ o̠ ³
k j ɛ ²	k j ɛ ²
g u ²	g o ŋ ¹
k j a ³	k a ²
n̩ ²	n i ²
k j o̠ ³	k o̠ ¹
n i ²	n i ²
d o ²	d i ²
tʰ e̠ ³	tʰ e̠ ³
t e ¹	t a ³
x a̠ ³	x a̠ ³
h u ¹	ˀx o̠ ¹
dz e ¹	dz e ¹
m e̠ ³	m e̠ ³
b y ²	b y ²
b y ¹	b y ¹
a ¹	a ²
tsʰ a ¹	tsʰ a ¹
h a ²	h e̠ ³
p o ²	p y̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
s i ¹	s i̠ ¹
kʰ ɛ ³	kʰ y̠ ¹
b j a ²	b j a ²
z a ²	z a ²
ts ɛ ²	ts ɛ̠ ³
ts ɛ ³	tʃ ɛ̠ ³
t u ¹	t u ¹
n ɛ̠ ³	n ɛ ³
tsʰ a ²	tsʰ a ²
d a ¹	d a ¹
m u ² ²	m o ²
b i ¹	b i ¹
ˀm y ¹	ˀm j y̠ ¹
k a ¹	k a ŋ ¹
b a ³	b a ³
pʰ y ³	b y̠ ³
s i̠ ³	s e̠ ³
a ¹	a ¹
x i ¹	ˀx y ¹
a ¹	a ¹
kʰ a̠ ¹	kʰ a̠ ¹
p ɛ̠ ³	p ɛ̠ ¹
l a ²	l a ²
b o ²	b a ²
ɣ a ³	ɣ a ³
z a ³	x i ¹
g o̠ ³	g o̠ ¹
x i̠ ¹	dz i ¹
tsʰ a ¹	tsʰ ɛ̠ ¹
s ɛ ²	s ɛ ²
b o̠ ¹	b o̠ ¹
b o ²	b a ²
t o ³	t o̠ ³
pʰ y ²	pʰ y ²
ˀm ɛ ¹	ˀm ɛ ¹
b ɛ̠ ³	b ɛ̠ ¹
b o ²	b o ²
a ²	a ¹
d e̠ ¹	d e̠ ¹
k e ³	k u ²
ʃ a ³	ʃ a̠ ³
tsʰ u ²	tʃʰ u ²
ˀl y ¹	l y ¹
u ²	ɨ̠ ³
ʃ i ³	ʃ i ³
ɣ i ¹	ɣ i ¹
ɣ y ³	ɣ y̠ ³
pʰ o ²	pʰ y ²
z a ¹	s u ¹
l a ¹	l a ¹
t ɛ̠ ¹	t ɛ ¹
ˀm ɛ̠ ¹	ˀm ɛ̠ ¹
tʰ a ³	tʰ a ³
ʃ i̠ ¹	ʃ i̠ ¹
ˀn o̠ ³	ˀn u̠ ³
a ¹	a ¹
ˀl u ³	ˀl u ³
s i ¹	s i̠ ¹
tsʰ i ²	kʰ j i ²
ˀn i ³	ˀn i ³
ʃ ɿ ²	ʃ ɨ̠ ³
d e ¹	d e ¹
m o ²	m o ²
pʰ ɛ ³	pʰ ɛ ³
b ɛ̠ ¹	b ɛ̠ ¹
ˀl y ³	ˀl y ²
