k u ¹¹	k u ⁵⁵
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
ˀd a ¹¹	ˀd ɛ ¹¹
h a t ⁵¹	h a t̚ ⁵¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
l i ŋ ⁵⁵	l ei ⁵⁵
d ɨ ¹¹	d ə ŋ ⁵⁵
ʔ a m ¹¹	ʔ a m ¹¹
s a ɴ ⁵⁵	s a ɴ ⁵⁵
s ei ¹¹	s ei ¹¹
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
l a ɴ ⁵⁵	l a m ⁵⁵
m ɨ ¹¹	m ɨ ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
k l ə ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
c ɔ ¹¹	c ɔ ¹¹
p l a ¹¹	p l a ⁵⁵
r u ŋ ⁵⁵	r̥ u n ⁵⁵
m ei ¹¹	m̥ ei ¹¹
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
l a ⁰	l a ʔ̚ ³³
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
cʰ a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
cʰ r ou ¹¹	cʰ r ou ¹¹
cʰ a ɴ ¹¹	cʰ j a ɴ ¹¹
h ou ¹¹	h ou ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
kʰ i ⁵⁵	kʰ ə ⁰
kʰ l o ¹¹	kʰ l o ¹¹
m a ⁵⁵	m̥ a ⁵⁵
k ə ⁰	k ə ʔ̚ ⁰
l ai ¹¹	l̥ ai ¹¹
